"start_station_name","start_lat","start_lng","total_rides","casual_rides","casual_percentage"
"Kedvale Ave & Peterson Ave",41.9900762,-87.7317073,165,70,42.42
"Kostner Ave & Belmont Ave",41.939191,-87.737112,392,166,42.35
"Yates Blvd & 75th St",41.758768,-87.56644,135,57,42.22
"MLK Jr Dr & 47th St",41.809851,-87.616279,671,283,42.18
"Milwaukee Ave & Fullerton Ave",41.92469,-87.7006,4837,2036,42.09
"DuSable Lake Shore Dr & Diversey Pkwy",41.932588,-87.636427,18252,7671,42.03
"California Ave & Fletcher St",41.93842879148,-87.698007756,3101,1302,41.99
"Lake Park Ave & 47th St",41.809443,-87.591875,1851,775,41.87
"Milwaukee Ave & Diversey Ave",41.93266,-87.71222,693,290,41.85
"Central Ave & Lake St",41.887664,-87.765469,208,87,41.83
"Winthrop Ave & Bryn Mawr Ave",41.98384,-87.65806,1047,438,41.83
"Long & Irving Park",41.953038,-87.7621632,189,79,41.80
"Public Rack - Springfield Ave & Lawrence Ave",41.9683986,-87.7256873,122,51,41.80
"Kedzie Ave & Jackson Blvd",41.877161,-87.706134,182,76,41.76
"Exchange Ave & 79th St",41.75211500633265,-87.55200700025293,180,75,41.67
"Pine Grove Ave & Belmont Ave",41.94002,-87.64166,1135,472,41.59
"Clark St & Newport St",41.94454,-87.654678,12921,5369,41.55
"New St & Illinois St",41.89084704062381,-87.61861681938171,21186,8793,41.50
"Kilbourn Ave & Roscoe St",41.942722,-87.739557,451,187,41.46
"Stony Island Ave & 71st St",41.7664929373,-87.5864608775,309,128,41.42
"Public Rack - Harold Washington Park",41.801089,-87.584791,169,70,41.42
"Calumet Ave & 18th St",41.85761755293753,-87.61941075325012,8641,3574,41.36
"Kildare Ave & North Ave",41.9095392,-87.7338518,351,145,41.31
"Cottage Grove Ave & 43rd St",41.816499,-87.606582,746,308,41.29
"Central Park Ave & Ohio St",41.8918718,-87.7163879,131,54,41.22
"Rockwell St & Archer Ave",41.82272,-87.68982,558,230,41.22
"California Ave & North Ave",41.910044,-87.697167,3673,1514,41.22
"Public Rack - Clark St & Diversey Pkwy (North 1)",41.93318983,-87.6452992,311,128,41.16
"Lake/Green Corral",41.8854698,-87.6485637,632,260,41.14
"Public Rack - Leavitt St & Potomac Ave",41.904976,-87.682051,124,51,41.13
"Michigan Ave & 11th St",41.86959,-87.623961,2984,1227,41.12
"Public Rack - Rush St & Oak St",41.90069176,-87.62768428,985,405,41.12
"Clark St & North Ave",41.911974,-87.631942,9836,4028,40.95
"Field Blvd & South Water St",41.88634906269,-87.6175165471,13016,5329,40.94
"Public Rack - Clark St & Diversey Pkwy (South)",41.93256596,-87.6447809,335,137,40.90
"Leavitt St & Hirsch St",41.90689,-87.68233,1961,802,40.90
"DuSable Lake Shore Dr & Wellington Ave",41.9366884494997,-87.63682901859283,14193,5792,40.81
"Wilton Ave & Addison St",41.947459,-87.653216,5818,2365,40.65
"Clark St & Lincoln Ave",41.915689,-87.6346,23608,9591,40.63
"Shore Dr & 53rd St",41.79945,-87.58237,1441,585,40.60
"Lamon Ave & Armitage Ave",41.91676,-87.749458,138,56,40.58
"Clark St & Lake St",41.88602,-87.63087,880,357,40.57
"Albany Ave & Belmont Ave",41.939638,-87.705263,493,200,40.57
"Sheffield Ave & Armitage Ave Public Rack",41.917805,-87.653449,2325,943,40.56
"Clark St & Berwyn Ave",41.97803062248656,-87.66856491565704,937,379,40.45
"Overhill Ave & Belmont Ave",41.93799,-87.81915,104,42,40.38
"Public Rack - Racine Ave & Armitage Ave",41.91814969,-87.65830299,218,88,40.37
"Public Rack - Monticello Ave & Belmont Ave",41.939472,-87.718423,305,123,40.33
"Albany Ave & 26th St",41.844507,-87.701655,181,73,40.33
"Western Ave & 28th St",41.84151770807,-87.6851314409,186,75,40.32
"Public Rack - Wells St & Scott St",41.90478243,-87.63458456,975,393,40.31
"Paulina St & Adams St",41.87862,-87.66913,1794,722,40.25
"Elizabeth St & Fulton St",41.886827,-87.658937,254,102,40.16
"Richmond St & Lincoln Ave",41.9881174,-87.7031754,249,100,40.16
"Clark St & Eddy St ",41.94628,-87.65627,7037,2824,40.13
"Cottage Grove Ave & 67th St",41.77372095205,-87.60563486,409,164,40.10
"Clark St & 9th St (AMLI)",41.870816,-87.631246,4426,1775,40.10
